university,abbreviation,department_name,course_title,unit_count,professor,objective,prerequisite,required_skills,outcome,references,scores,description,projects,university_homepage,course_homepage,professor_homepage
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 368 - Introduction to Design and Analysis of Experiments, 3,,," STAT 266, or STAT 235 with consent of the Department.",,,,," Basic principles of experimental design, completely randomized design-one way ANOVA and ANCOVA, randomized block design, Latin square design, Multiple comparisons. Nested designs. Factorial experiments. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403207,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 371 - Probability and Stochastic Processes, 3,,, STAT 265.,,,,," Problem solving of classical probability questions, random walk, gambler’s ruin, Markov chains, branching processes. Selected topics of the instructor’s choice. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403208,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 372 - Mathematical Statistics, 3,,, STAT 266.,,,,," Laws of large numbers, weak convergence, some asymptotic results, delta method, maximum likelihood estimation, testing, UMP tests, LR tests, nonparametric methods (sign test, rank test), robustness, statistics and their sensitivity properties, prior and posterior distributions, Bayesian inference, conjugate priors, Bayes estimators. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403209,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 378 - Applied Regression Analysis, 3,,," STAT 266, or STAT 235 with consent of the Department.",,,,," Simple linear regression analysis, inference on regression parameters, residual analysis, prediction intervals, weighted least squares. Multiple regression analysis, inference about regression parameters, multicollinearity and its effects, indicator variables, selection of independent variables. Non-linear regression. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403210,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 413 - Introduction to Computing for Data Science, 3,,, STAT 265 or consent of the instructor.,,,,," Survey of contemporary languages/environments suitable for algorithms of Statistics and Data Science. Introduction to Monte Carlo methods, random number generation and numerical integration in statistical context and optimization for both smooth and constrained alternatives, tailored to specific applications in statistics and machine learning. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=404928,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 432 - Survival Analysis, 3,,, STAT 372 and 378.,,,,," Survival models, model estimation from complete and incomplete data samples, parametric survival models with concomitant variables, estimation of life tables from general population data. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403211,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 437 - Applied Statistical Methods, 3,,, STAT 252 or 337 or consent of the instructor.,,,,," Methods of data analysis useful in applied research, including repeated measures and longitudinal data analysis, non-linear regression, survival analysis, multivariate techniques. Applications to real data will be emphasized, including case studies and real data applications. Each researcher works on a project to present, highlighting the methods used in the project. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=405258,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 441 - Statistical Methods for Learning and Data Mining, 3,,, STAT 378.,,,,," Review of linear and nonlinear regression and brief introduction to generalized linear models, the course covers selected methods of dimension reduction (principal components, factor analysis, canonical correlations), of unsupervised (clustering, multidimensional scaling ordination) and supervised classification (discriminant analysis, logistic regression, nearest neighbours - including, among others, the machine learning methods like classification trees, neural networks, and support vector machines). ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403212,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 453 - Risk Theory, 3,,, STAT 371.,,,,," Classical ruin theory, individual risk models, collective risk models, models for loss severity: parametric models, tail behavior, models for loss frequency, mixed Poisson models; compound Poisson models, convolutions and recursive methods, probability and moment generating functions. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403213,
Alberta University,UAlberta, Mathematical & Statistical Sci,				STAT 471 - Probability I, 3,,, STAT 371.,,,,," Probability spaces, algebra of events. Elements of combinatorial analysis. Conditional probability, stochastic independence. Special discrete and continuous distributions. Random variables, moments, transformations. Basic limit theorems. ",,https://www.ualberta.ca/index.html,https://calendar.ualberta.ca/preview_course_nopop.php?catoid=36&coid=403215,
